~id;from;to;label;Recette;unit;Step_Prod;unit_action;temps_masque
e1;v2;v3;contient;80;g;;;
e2;v2;v4;contient;3;g;;;
e3;v3;v5;contient;833;g;;;
e4;v3;v6;contient;667;g;;;
e5;v3;v7;contient;200;g;;;
e6;v3;v8;contient;1167;g;;;
e7;v3;v9;contient;33;g;;;
e8;v3;v10;contient;83;g;;;
e9;v3;v21;contient;333;g;;;
e10;v3;v11;contient;67;g;;;
e11;v3;v12;contient;833;g;;;
e12;v3;v4;contient;167;g;;;
e13;v4;v275;contient;;;;;
e14;v5;v272;contient;;;;;
e15;v8;v284;contient;;;;;
e16;v11;v284;contient;;;;;
e17;v12;v272;contient;;;;;
e18;v15;v284;contient;;;;;
e19;v16;v284;contient;;;;;
e20;v17;v275;contient;;;;;
e21;v18;v284;contient;;;;;
e22;v20;v272;contient;;;;;
e23;v21;v12;contient;600;g;;;
e24;v21;v10;contient;18;g;;;
e25;v21;v9;contient;12;g;;;
e26;v21;v7;contient;30;g;;;
e27;v21;v6;contient;360;g;;;
e28;v21;v8;contient;45;g;;;
e29;v22;v7;contient;467;g;;;
e30;v22;v15;contient;187;g;;;
e31;v22;v16;contient;2333;g;;;
e32;v22;v17;contient;280;g;;;
e33;v22;v18;contient;233;g;;;
e34;v23;v4;contient;555;g;;;
e35;v23;v18;contient;347;g;;;
e36;v23;v20;contient;417;g;;;
e37;v23;v6;contient;694;g;;;
e38;v23;v7;contient;27.8;g;;;
e39;v23;v9;contient;13.9;g;;;
e40;v24;v4;contient;3;g;;;
e41;v24;v3;contient;80;g;;;
e42;v24;v13;contient;2;pcs;;;
e43;v25;v3;contient;80;g;;;
e44;v25;v4;contient;3;g;;;
e45;v25;v14;contient;16.7;g;;;
e46;v25;v22;contient;20.8;g;;;
e47;v26;v4;contient;2.8;g;;;
e48;v26;v22;contient;70;g;;;
e49;v26;v19;contient;11.1;g;;;
e50;v26;v23;contient;41.1;g;;;
e51;v27;v28;contient;350;g;;;
e52;v28;v5;contient;7895;g;;;
e53;v28;v6;contient;4895;g;;;
e54;v28;v10;contient;95;g;;;
e55;v28;v9;contient;142;g;;;
e56;v28;v29;contient;1974;g;;;
e57;v29;v20;contient;1000;g;;;
e58;v29;v6;contient;620;g;;;
e59;v29;v10;contient;12;g;;;
e60;v29;v9;contient;18;g;;;
e61;v30;v31;contient;350;g;;;
e62;v31;v32;contient;7595;g;;;
e63;v31;v6;contient;5316;g;;;
e64;v31;v10;contient;53;g;;;
e65;v31;v9;contient;137;g;;;
e66;v31;v29;contient;1899;g;;;
e67;v32;v272;contient;;;;;
e68;v33;v143;contient;1;pcs;;;
e69;v33;v270;contient;1;pcs;;;
e70;v33;v34;contient;43.3;g;;;
e71;v33;v35;contient;30;g;;;
e72;v33;v36;contient;100;g;;;
e73;v33;v37;contient;15;g;;;
e74;v36;v273;contient;;;;;
e75;v37;v275;contient;;;;;
e76;v38;v39;contient;1;pcs;;;
e77;v39;v44;contient;364;g;;;
e78;v39;v46;contient;252;g;;;
e79;v39;v47;contient;60;g;;;
e80;v40;v39;contient;0.6694;pcs;;;
e81;v41;v39;contient;0.8264;pcs;;;
e82;v42;v39;contient;1.1901;pcs;;;
e83;v43;v39;contient;1.3967;pcs;;;
e84;v44;v20;contient;1400;g;;;
e85;v44;v18;contient;700;g;;;
e86;v44;v4;contient;350;g;;;
e87;v44;v9;contient;28;g;;;
e88;v44;v45;contient;70;g;;;
e89;v46;v16;contient;1181;g;;;
e90;v46;v7;contient;243;g;;;
e91;v46;v15;contient;118;g;;;
e92;v46;v4;contient;139;g;;;
e93;v46;v18;contient;69;g;;;
e94;v48;v23;contient;16.25;g;;;
e95;v48;v4;contient;3;g;;;
e96;v48;v49;contient;10;g;;;
e97;v54;v55;contient;110;g;;;
e98;v54;v56;contient;60;g;;;
e99;v54;v4;contient;3;g;;;
e100;v54;v57;contient;10;g;;;
e101;v55;v20;contient;1360;g;;;
e102;v55;v8;contient;1000;g;;;
e103;v55;v9;contient;27;g;;;
e104;v55;v6;contient;680;g;;;
e105;v57;v7;contient;1698;g;;;
e106;v57;v6;contient;1302;g;;;
e107;v58;v59;contient;50;g;;;
e108;v58;v60;contient;30;g;;;
e109;v58;v61;contient;8;g;;;
e110;v58;v2;contient;1;pcs;;;
e111;v59;v18;contient;1124;g;;;
e112;v59;v7;contient;1124;g;;;
e113;v59;v4;contient;1124;g;;;
e114;v59;v101;contient;1124;g;;;
e115;v59;v127;contient;169;g;;;
e116;v59;v73;contient;169;g;;;
e117;v59;v15;contient;169;g;;;
e118;v60;v7;contient;900;g;;;
e119;v60;v6;contient;2100;g;;;
e120;v61;v285;contient;;;;;
e121;v62;v271;contient;1;pcs;;;
e122;v63;v270;contient;1;pcs;;;
e123;v64;v65;contient;80;g;;;
e124;v64;v66;contient;20;g;;;
e125;v64;v22;contient;40;g;;;
e126;v64;v60;contient;5;g;;;
e127;v64;v4;contient;3;g;;;
e128;v65;v12;contient;6148;g;;;
e129;v65;v8;contient;4057;g;;;
e130;v65;v4;contient;3689;g;;;
e131;v65;v7;contient;738;g;;;
e132;v65;v10;contient;246;g;;;
e133;v65;v9;contient;123;g;;;
e134;v67;v65;contient;400;g;;;
e135;v67;v4;contient;3;g;;;
e136;v68;v24;contient;1;pcs;;;
e137;v68;v59;contient;50;g;;;
e138;v68;v60;contient;30;g;;;
e139;v68;v61;contient;8;g;;;
e140;v69;v70;contient;30;g;;;
e141;v70;v20;contient;378;g;;;
e142;v70;v71;contient;16;g;;;
e143;v70;v18;contient;409;g;;;
