~id;from;to;label;Recette;unit;Step_Prod;unit_action;temps_masque
e603;v2;v1;production_fix;180;s;CUIRE;batch;
e604;v2;v1;production_fix;600;s;NETTOYER;batch;
e609;v3;v1;production_fix;300;s;PREPARER;batch;
e610;v3;v1;production_fix;120;s;PESER;batch;
e611;v3;v1;production_fix;300;s;PETRIR;batch;
e612;v3;v1;production_fix;60;s;ROMPRE;batch;
e613;v3;v1;production_fix;120;s;RESERVER;batch;
e614;v3;v1;production_fix;180;s;BEURRER;batch;
e615;v3;v1;production_fix;180;s;TOURER;batch;
e616;v3;v1;production_fix;120;s;ABAISSER;batch;
e617;v22;v294;production_fix;300;s;PREPARER;batch;
e618;v22;v294;production_fix;120;s;PESER;batch;
e619;v22;v294;production_fix;960;s;REALISER;batch;
e620;v22;v294;production_fix;120;s;MISE AU FROID;batch;
e621;v22;v294;production_fix;300;s;NETTOYER;batch;
e622;v23;v294;production_fix;300;s;PREPARER;batch;
e623;v23;v294;production_fix;120;s;PESER;batch;
e624;v23;v294;production_fix;600;s;REALISER;batch;
e625;v24;v1;production_fix;180;s;CUIRE;batch;
e626;v24;v1;production_fix;600;s;NETTOYER;batch;
e631;v25;v1;production_fix;120;s;ETALER;batch;
e632;v25;v1;production_fix;120;s;ROULER;batch;
e633;v25;v1;production_fix;180;s;CUIRE;batch;
e634;v25;v1;production_fix;600;s;NETTOYER;batch;
e640;v26;v1;production_fix;120;s;CUIRE;batch;
e643;v26;v1;production_fix;300;s;PREPARER GLACAGE;batch;
e647;v27;v1;production_fix;400;s;APRETER;batch;
e650;v27;v1;production_fix;300;s;NETTOYER;batch;
e651;v28;v1;production_fix;300;s;PREPARER;batch;
e652;v28;v1;production_fix;120;s;PESER;batch;
e653;v28;v1;production_fix;180;s;PETRIR;batch;
e656;v30;v1;production_fix;400;s;APRETER;batch;
e659;v30;v1;production_fix;300;s;NETTOYER;batch;
e660;v31;v1;production_fix;300;s;PREPARER;batch;
e661;v31;v1;production_fix;120;s;PESER;batch;
e662;v31;v1;production_fix;180;s;PETRIR;batch;
e669;v38;v294;production_fix;300;s;NETTOYER;batch;
e676;v39;v294;production_fix;300;s;NETTOYER;batch;
e683;v40;v294;production_fix;300;s;NETTOYER;batch;
e690;v41;v294;production_fix;300;s;NETTOYER;batch;
e697;v42;v294;production_fix;300;s;NETTOYER;batch;
e704;v43;v294;production_fix;300;s;NETTOYER;batch;
e705;v44;v294;production_fix;300;s;PREPARER;batch;
e706;v44;v294;production_fix;120;s;PESER;batch;
e707;v44;v294;production_fix;300;s;REALISER;batch;
e708;v44;v294;production_fix;120;s;ABAISSER;batch;
e709;v46;v294;production_fix;120;s;PREPARER;batch;
e710;v46;v294;production_fix;120;s;PESER;batch;
e711;v46;v294;production_fix;960;s;REALISER;batch;
e723;v54;v1;production_fix;600;s;NETTOYER;batch;
e724;v55;v1;production_fix;300;s;PREPARER;batch;
e725;v55;v1;production_fix;120;s;PESER;batch;
e726;v55;v1;production_fix;300;s;PETRIR;batch;
e727;v55;v1;production_fix;60;s;ROMPRE;batch;
e728;v55;v1;production_fix;120;s;RESERVER;batch;
e729;v55;v1;production_fix;180;s;BEURRER;batch;
e730;v55;v1;production_fix;180;s;TOURER;batch;
e731;v55;v1;production_fix;120;s;ABAISSER;batch;
e732;v57;v294;production_fix;120;s;PREPARER;batch;
e733;v57;v294;production_fix;120;s;PESER;batch;
e734;v57;v294;production_fix;300;s;REALISER;batch;
e739;v59;v294;production_fix;300;s;PREPARER;batch;
e740;v59;v294;production_fix;120;s;PESER;batch;
e741;v59;v294;production_fix;240;s;REALISER;batch;
e742;v59;v294;production_fix;120;s;MISE AU FROID;batch;
e743;v59;v294;production_fix;300;s;NETTOYER;batch;
e744;v60;v294;production_fix;120;s;PREPARER;batch;
e745;v60;v294;production_fix;120;s;PESER;batch;
e746;v60;v294;production_fix;300;s;REALISER;batch;
e747;v64;v1;production_fix;300;s;ETALER;batch;
e748;v64;v1;production_fix;60;s;ROULER;batch;
e753;v64;v1;production_fix;600;s;NETTOYER;batch;
e754;v65;v1;production_fix;300;s;PREPARER;batch;
e755;v65;v1;production_fix;180;s;PESER;batch;
e756;v65;v1;production_fix;420;s;PETRIR;batch;
e757;v65;v1;production_fix;420;s;BEURRER;batch;
e758;v65;v1;production_fix;60;s;ROMPRE;batch;
e759;v67;v1;production_fix;180;s;PESER;batch;
e764;v67;v1;production_fix;600;s;NETTOYER;batch;
e772;v69;v1;production_fix;300;s;NETTOYER;batch;
e773;v70;v1;production_fix;120;s;PESER;batch;
e774;v70;v1;production_fix;300;s;REALISER;batch;
e778;v74;v1;production_fix;180;s;NETTOYER;batch;
e779;v75;v1;production_fix;120;s;PREPARER;batch;
e780;v75;v1;production_fix;180;s;PESER;batch;
e781;v75;v1;production_fix;900;s;PETRIR;batch;
e782;v75;v1;production_fix;240;s;POINTER;batch;
e786;v76;v1;production_fix;180;s;NETTOYER;batch;
e790;v77;v1;production_fix;180;s;NETTOYER;batch;
e796;v78;v1;production_fix;600;s;NETTOYER;batch;
e797;v79;v1;production_fix;300;s;PREPARER;batch;
e798;v79;v1;production_fix;120;s;PESER;batch;
e799;v79;v1;production_fix;300;s;PETRIR;batch;
e800;v79;v1;production_fix;60;s;ROMPRE;batch;
e801;v79;v1;production_fix;120;s;RESERVER;batch;
e802;v79;v1;production_fix;180;s;BEURRER;batch;
e803;v79;v1;production_fix;180;s;TOURER;batch;
e804;v79;v1;production_fix;120;s;ABAISSER;batch;
e808;v81;v1;production_fix;300;s;NETTOYER;batch;
e809;v82;v1;production_fix;120;s;PESER;batch;
e810;v82;v1;production_fix;300;s;REALISER;batch;
e811;v84;v294;production_fix;300;s;PREPARER;batch;
e813;v84;v294;production_fix;300;s;NETTOYER;batch;
e814;v85;v294;production_fix;300;s;PREPARER;batch;
e816;v85;v294;production_fix;300;s;NETTOYER;batch;
e817;v86;v294;production_fix;300;s;PREPARER;batch;
e819;v86;v294;production_fix;300;s;NETTOYER;batch;
e820;v87;v294;production_fix;300;s;PREPARER;batch;
e822;v87;v294;production_fix;300;s;NETTOYER;batch;
e823;v89;v294;production_fix;300;s;PREPARER;batch;
e825;v89;v294;production_fix;300;s;NETTOYER;batch;
