~id;from;to;label;Recette;unit;Step_Prod;unit_action;temps_masque
e605;v2;v1;production_var;6;s;FACONNER;pcs;
e606;v2;v1;production_var;3;s;DORER;pcs;
e607;v2;v1;production_var;2.5;s;RESERVER;pcs;
e608;v2;v1;production_var;2.25;s;DETAILLER;pcs;
e627;v24;v1;production_var;2.5;s;RESERVER;pcs;
e628;v24;v1;production_var;2.25;s;DETAILLER;pcs;
e629;v24;v1;production_var;8;s;FACONNER;pcs;
e630;v24;v1;production_var;3;s;DORER;pcs;
e635;v25;v1;production_var;4.5;s;RESERVER;pcs;
e636;v25;v1;production_var;4.5;s;DETAILLER;pcs;
e637;v25;v1;production_var;6;s;DORER;pcs;
e638;v26;v294;production_var;2;s;POCHER;pcs;
e639;v26;v294;production_var;7.5;s;DORER;pcs;
e641;v26;v294;production_var;4.8;s;RESERVER;pcs;
e642;v26;v294;production_var;6;s;GARNIR;pcs;
e644;v26;v294;production_var;35;s;GLACER;pcs;
e645;v27;v1;production_var;10;s;DETAILLER;pcs;
e646;v27;v1;production_var;4;s;FACONNER;pcs;
e648;v27;v1;production_var;4.5;s;CUIRE;pcs;
e649;v27;v1;production_var;3;s;RESERVER;pcs;
e654;v30;v1;production_var;10;s;DETAILLER;pcs;
e655;v30;v1;production_var;4;s;FACONNER;pcs;
e657;v30;v1;production_var;4.5;s;CUIRE;pcs;
e658;v30;v1;production_var;3;s;RESERVER;pcs;
e663;v38;v294;production_var;21;s;DETAILLER;pcs;
e664;v38;v294;production_var;51;s;FONCER;pcs;
e665;v38;v294;production_var;31;s;GARNIR;pcs;
e666;v38;v294;production_var;43;s;RESERVER;pcs;
e667;v38;v294;production_var;17;s;CUIRE;pcs;
e668;v38;v294;production_var;17;s;NAPPER;pcs;
e670;v39;v294;production_var;21;s;DETAILLER;pcs;
e671;v39;v294;production_var;51;s;FONCER;pcs;
e672;v39;v294;production_var;31;s;GARNIR;pcs;
e673;v39;v294;production_var;43;s;RESERVER;pcs;
e674;v39;v294;production_var;17;s;CUIRE;pcs;
e675;v39;v294;production_var;17;s;NAPPER;pcs;
e677;v40;v294;production_var;21;s;DETAILLER;pcs;
e678;v40;v294;production_var;51;s;FONCER;pcs;
e679;v40;v294;production_var;31;s;GARNIR;pcs;
e680;v40;v294;production_var;43;s;RESERVER;pcs;
e681;v40;v294;production_var;17;s;CUIRE;pcs;
e682;v40;v294;production_var;17;s;NAPPER;pcs;
e684;v41;v294;production_var;21;s;DETAILLER;pcs;
e685;v41;v294;production_var;51;s;FONCER;pcs;
e686;v41;v294;production_var;31;s;GARNIR;pcs;
e687;v41;v294;production_var;43;s;RESERVER;pcs;
e688;v41;v294;production_var;17;s;CUIRE;pcs;
e689;v41;v294;production_var;17;s;NAPPER;pcs;
e691;v42;v294;production_var;21;s;DETAILLER;pcs;
e692;v42;v294;production_var;51;s;FONCER;pcs;
e693;v42;v294;production_var;31;s;GARNIR;pcs;
e694;v42;v294;production_var;43;s;RESERVER;pcs;
e695;v42;v294;production_var;17;s;CUIRE;pcs;
e696;v42;v294;production_var;17;s;NAPPER;pcs;
e698;v43;v294;production_var;21;s;DETAILLER;pcs;
e699;v43;v294;production_var;51;s;FONCER;pcs;
e700;v43;v294;production_var;31;s;GARNIR;pcs;
e701;v43;v294;production_var;43;s;RESERVER;pcs;
e702;v43;v294;production_var;17;s;CUIRE;pcs;
e703;v43;v294;production_var;17;s;NAPPER;pcs;
e712;v48;v294;production_var;2;s;POCHER;pcs;
e713;v48;v294;production_var;3;s;DORER;pcs;
e714;v48;v294;production_var;4.5;s;SAUPOUDRER;pcs;
e715;v48;v294;production_var;3;s;CUIRE;pcs;
e716;v48;v294;production_var;4.5;s;RESERVER;pcs;
e717;v54;v1;production_var;6;s;DETAILLER;pcs;
e718;v54;v1;production_var;15;s;FACONNER;pcs;
e719;v54;v1;production_var;6;s;DORER;pcs;
e720;v54;v1;production_var;4.5;s;CUIRE;pcs;
e721;v54;v1;production_var;4.5;s;RESERVER;pcs;
e722;v54;v1;production_var;6;s;GLACER;pcs;
e735;v58;v1;production_var;10;s;NAPPER;pcs;
e736;v58;v1;production_var;10;s;FACONNER;pcs;
e737;v58;v1;production_var;3;s;CUIRE;pcs;
e738;v58;v1;production_var;4.5;s;RESERVER;pcs;
e749;v64;v1;production_var;4.5;s;DETAILLER;pcs;
e750;v64;v1;production_var;6;s;DORER;pcs;
e751;v64;v1;production_var;4.5;s;CUIRE;pcs;
e752;v64;v1;production_var;4.5;s;RESERVER;pcs;
e760;v67;v1;production_var;120;s;FACONNER;pcs;
e761;v67;v1;production_var;12;s;DORER;pcs;
e762;v67;v1;production_var;18;s;CUIRE;pcs;
e763;v67;v1;production_var;18;s;RESERVER;pcs;
e765;v68;v1;production_var;10;s;NAPPER;pcs;
e766;v68;v1;production_var;10;s;FACONNER;pcs;
e767;v68;v1;production_var;3;s;CUIRE;pcs;
e768;v68;v1;production_var;4.5;s;RESERVER;pcs;
e769;v69;v1;production_var;8;s;MOULER;pcs;
e770;v69;v1;production_var;2;s;CUIRE;pcs;
e771;v69;v1;production_var;4;s;RESERVER;pcs;
e775;v74;v1;production_var;12;s;FACONNER;pcs;
e776;v74;v1;production_var;4.5;s;CUIRE;pcs;
e777;v74;v1;production_var;1.5;s;RESERVER;pcs;
e783;v76;v1;production_var;12;s;FACONNER;pcs;
e784;v76;v1;production_var;4.5;s;CUIRE;pcs;
e785;v76;v1;production_var;1.5;s;RESERVER;pcs;
e787;v77;v1;production_var;12;s;FACONNER;pcs;
e788;v77;v1;production_var;4.5;s;CUIRE;pcs;
